"sgRNA","gene","logFC","logCPM","LR","PValue","FDR"
"ANAPC2_CCDS7033.1_ex10_9:140080701-140080724:+_5-2","ANAPC2",-3.59317304165992,1.82166076955476,35.4804021838694,2.57629657407982e-09,3.5125080766439e-06
"HIST1H2AH_CCDS4622.1_ex0_6:27115077-27115100:+_5-4","HIST1H2AH",-4.48912710088249,0.604037932662253,35.4800806022158,2.57672194864742e-09,3.5125080766439e-06
"HSPA9_CCDS4208.1_ex12_5:137904699-137904722:-_5-3","HSPA9",-2.77557758098572,2.88709746862065,35.3298142940481,2.78338422554738e-09,3.73673549528562e-06
"RPL14_CCDS33739.1_ex3_3:40502959-40502982:-_5-5","RPL14",-3.02983009306525,2.14185697504377,35.2499937219978,2.8998303127887e-09,3.83496066708889e-06
"RANGAP1_CCDS14012.1_ex9_22:41653939-41653962:+_5-2","RANGAP1",-2.84598681311475,2.31181605458229,35.1787087437696,3.00794218259246e-09,3.9194371328057e-06
"RPL27A_CCDS7790.1_ex2_11:8705551-8705574:+_5-1","RPL27A",-3.25201204434096,1.27005921607048,35.0700203439616,3.18060021398264e-09,4.08435163130646e-06
"PSMD2_CCDS3258.1_ex6_3:184020487-184020510:+_5-4","PSMD2",-3.11822630442705,1.49743340311781,34.7059241818199,3.83462886316507e-09,4.85387321499435e-06
"SNRNP25_CCDS10396.1_ex3_16:106540-106563:-_5-5","SNRNP25",-3.51251138536266,1.23619061223656,34.6063781350524,4.03581768163973e-09,4.93013151566561e-06
"RAD51_CCDS10062.1_ex4_15:41010996-41011019:+_5-5","RAD51",-3.2479309338014,1.53449709429887,34.6063323742941,4.0359125564204e-09,4.93013151566561e-06
"POLD1_CCDS12795.1_ex6_19:50905967-50905990:+_5-4","POLD1",-2.98195951315902,1.9927206590159,34.5701230463884,4.11168903990505e-09,4.93013151566561e-06
"PRPF38A_CCDS567.1_ex2_1:52874234-52874257:+_5-2","PRPF38A",-3.85030337443138,1.27138133731087,34.5674031627855,4.11743823397123e-09,4.93013151566561e-06
"HIST2H2AA3_CCDS934.1_ex0_1:149814054-149814077:+_5-1","HIST2H2AA3",-2.69867137055029,2.55977984767698,34.5210605231038,4.21664213049287e-09,4.98159723485935e-06
"EFTUD2_CCDS11489.1_ex13_17:42941068-42941091:-_5-2","EFTUD2",-2.80452678402485,2.08312346992714,34.456694639983,4.3584112146253e-09,5.05237080673063e-06
"FAM86A_CCDS10529.1_ex3_16:5140481-5140504:+_5-2","FAM86A",-2.96752321596256,1.98521447296332,34.4423773108075,4.39058926165563e-09,5.05237080673063e-06
"CCT3_CCDS1140.2_ex8_1:156294799-156294822:-_5-4","CCT3",-3.77171646036892,0.890350506746851,34.4128988806311,4.45759289416703e-09,5.06371123052005e-06
"NDC80_CCDS11827.1_ex4_18:2579006-2579029:+_5-4","NDC80",-4.59758647956055,0.589416308676372,34.3239992117814,4.66592407700476e-09,5.2332768198365e-06
"HIST2H3C_CCDS30848.1_ex0_1:149812587-149812610:+_4-3","HIST2H3C",-2.45411621281509,2.52277988761734,34.0813419390461,5.28556547157518e-09,5.85416017717988e-06
"SF3B5_CCDS5204.1_ex0_6:144416451-144416474:+_5-1","SF3B5",-4.36522315133919,0.315928070920616,33.9687578340058,5.60041490270623e-09,6.11186726328464e-06
"LCE1F_CCDS1023.1_ex0_1:152748946-152748969:-_3-1","LCE1F",-2.77432485673619,1.85143513010956,33.9494736893614,5.65619840179379e-09,6.11186726328464e-06
"LSM6_CCDS3767.1_ex1_4:147108411-147108434:+_5-2","LSM6",-3.19005556963743,1.45865898761742,33.7876807191107,6.14668693662935e-09,6.56184750249374e-06
"VPS28_CCDS34967.1_ex3_8:145650387-145650410:+_5-1","VPS28",-3.16312921949528,1.43706603410217,33.7136839929758,6.3849957159709e-09,6.6771365316906e-06
"EIF2S1_CCDS9781.1_ex3_14:67847441-67847464:+_5-4","EIF2S1",-4.07069423439173,0.939761693775444,33.7074783080009,6.40539698433177e-09,6.6771365316906e-06
"SLU7_CCDS4352.1_ex11_5:159840601-159840624:+_5-1","SLU7",-2.79881080677968,2.39332199804218,33.5912506611962,6.79979009963564e-09,6.97186766338428e-06
"POLR2A_CCDS32548.1_ex16_17:7406435-7406458:-_5-4","POLR2A",-4.80782800325388,-0.974831377466924,33.5782185432073,6.8455012833717e-09,6.97186766338428e-06
"RPL18A_CCDS12367.1_ex2_19:17972904-17972927:+_5-2","RPL18A",-3.91567728621349,0.988257532387751,33.5062802919259,7.10342531210758e-09,7.1523420818705e-06
"RPL18A_CCDS12367.1_ex2_19:17972919-17972942:-_5-3","RPL18A",-3.47247583703056,1.71105103941993,33.3035459884268,7.88387509002689e-09,7.84897344075194e-06
"RPL34_CCDS3680.1_ex1_4:109543338-109543361:+_5-3","RPL34",-4.32707788345852,-0.217420730927914,33.2710306894297,8.01680443674661e-09,7.89263304358189e-06
"RAN_CCDS9271.1_ex2_12:131357655-131357678:+_5-3","RAN",-5.99678745892252,-2.68488238617535,33.2326458098369,8.17662202434822e-09,7.96151396801536e-06
"RPL37A_CCDS2404.1_ex1_2:217364084-217364107:-_4-1","RPL37A",-3.29562928135696,1.45528774651458,33.0826823674635,8.83218795711573e-09,8.50635702313257e-06
"EIF2B4_CCDS33164.1_ex6_2:27590961-27590984:+_5-3","EIF2B4",-3.06023716132371,1.89939665159788,33.0259668993879,9.09361921883879e-09,8.66397015596161e-06
"SNRPD3_CCDS13828.1_ex1_22:24963947-24963970:-_5-3","SNRPD3",-3.96981823889164,0.443916491138181,32.9424560127336,9.49273890037995e-09,8.94801726603262e-06
"HNRNPK_CCDS6667.1_ex12_9:86591958-86591981:-_5-5","HNRNPK",-4.3239921931626,-0.0676924598478547,32.7791608709328,1.03245766407635e-08,9.62967829296309e-06
"ZNF680_CCDS34644.1_ex2_7:64004692-64004715:-_7-7","ZNF680",-6.08343153097859,-3.19846685216069,32.7168151548432,1.06610942815412e-08,9.8399679157317e-06
"MED28_CCDS33963.1_ex1_4:17621552-17621575:+_5-3","MED28",-2.62922016790306,2.45567069666381,32.6592288332538,1.09816748960912e-08,1.00313637715779e-05
"SNRPD3_CCDS13828.1_ex1_22:24963996-24964019:+_5-5","SNRPD3",-4.86129869005228,-0.00206119952962704,32.5080559298442,1.18699473198384e-08,1.07321280838939e-05
"SNRPB_CCDS13026.1_ex4_20:2446398-2446421:-_5-4","SNRPB",-3.81878779276621,1.57591936031948,32.3464032638065,1.28995754834987e-08,1.15452503564736e-05
"RBX1_CCDS14009.1_ex1_22:41349556-41349579:+_5-1","RBX1",-3.35866803304263,1.15710843769545,32.2658242391417,1.34457576581034e-08,1.18313825921039e-05
"SRSF7_CCDS33183.1_ex5_2:38976821-38976844:-_5-4","SRSF7",-3.27517849688369,1.71146954782434,32.2599701834623,1.34863287114021e-08,1.18313825921039e-05
"LRR1_CCDS9686.1_ex0_14:50065886-50065909:-_5-1","LRR1",-2.74627209215753,2.03633599158627,32.2028593973545,1.38886207510488e-08,1.20648542183082e-05
"PLK1_CCDS10616.1_ex0_16:23690579-23690602:-_5-2","PLK1",-2.81440388358631,1.73973761181821,32.1782582753223,1.40655960289479e-08,1.20999631236986e-05
"PHB_CCDS11548.1_ex4_17:47489150-47489173:-_5-4","PHB",-2.51131174745764,3.57565166534813,32.0337335616031,1.5151849877149e-08,1.29090847136025e-05
"KPNB1_CCDS11513.1_ex9_17:45745679-45745702:+_5-3","KPNB1",-3.59251322551962,1.08009428675465,31.9447249182695,1.58622543312079e-08,1.33052608730239e-05
"SMU1_CCDS6534.1_ex9_9:33071723-33071746:+_5-5","SMU1",-4.01623164793465,0.835542113034385,31.9380102926656,1.59171800164835e-08,1.33052608730239e-05
"PSMA2_CCDS5467.1_ex5_7:42966146-42966169:-_5-3","PSMA2",-4.26789708917864,0.474246805179408,31.8924923495992,1.62945738320499e-08,1.34934299903048e-05
"CDK1_CCDS44408.1_ex1_10:62544597-62544620:+_5-2","CDK1",-5.74483326813589,-2.5112742392411,31.8116762466663,1.69868482878143e-08,1.39364507350933e-05
"UBL5_CCDS12219.1_ex1_19:9939295-9939318:+_3-1","UBL5",-4.86193811985463,-0.44482657708945,31.7642016784492,1.74071755225982e-08,1.41502770124343e-05
"RPL15_CCDS2640.1_ex0_3:23959478-23959501:-_5-1","RPL15",-3.35101217762348,1.53183319882717,31.64544723967,1.85047906818144e-08,1.49057771195714e-05
"INTS2_CCDS45750.1_ex17_17:59984774-59984797:-_5-2","INTS2",-2.47094707368729,2.63225062794211,31.5457271349608,1.94798543177263e-08,1.55498375826708e-05
"RPS24_CCDS44443.1_ex2_10:79795273-79795296:+_7-1","RPS24",-3.29308500233205,1.41462368289668,31.4800386791881,2.01501096702569e-08,1.58511430104892e-05
"TXNL4A_CCDS32852.1_ex2_18:77748289-77748312:-_5-5","TXNL4A",-3.59771101936465,1.4173530360094,31.4686788705533,2.02683411403573e-08,1.58511430104892e-05
"ANKLE2_CCDS41869.1_ex9_12:133324722-133324745:-_5-3","ANKLE2",-4.2597181082802,0.809407514649683,31.4566784603474,2.03939947994016e-08,1.58511430104892e-05
"XAB2_CCDS32892.1_ex16_19:7692699-7692722:-_5-4","XAB2",-4.22464387352696,0.490919329893498,31.4282526857251,2.06947570515751e-08,1.58525504074043e-05
"MFAP1_CCDS10105.1_ex7_15:44109574-44109597:-_5-4","MFAP1",-2.80600143776465,2.07522704089077,31.4227372248544,2.0753626698631e-08,1.58525504074043e-05
"BUD31_CCDS5663.1_ex1_7:99013807-99013830:-_5-2","BUD31",-5.0663184428654,-0.207732618323067,31.3969089374073,2.10315466532571e-08,1.59275318184487e-05
"PRIM1_CCDS44926.1_ex12_12:57145981-57146004:-_5-5","PRIM1",-2.95143343800114,1.75034433986807,31.2098684734533,2.31585800951228e-08,1.7389738541597e-05
"POLR2C_CCDS10782.1_ex1_16:57496940-57496963:+_5-1","POLR2C",-3.42498518520023,1.03773402509806,30.9336422906932,2.67003020779619e-08,1.98807308060495e-05
"HIST1H2BC_CCDS4584.1_ex0_6:26123971-26123994:-_4-3","HIST1H2BC",-5.90569248196147,-0.200884394869535,30.8832074888829,2.74032692567857e-08,2.02341172980563e-05
"UBL5_CCDS12219.1_ex1_19:9939320-9939343:-_3-2","UBL5",-5.0501238475511,-0.873305778051239,30.843135490613,2.79749927145711e-08,2.04855554088205e-05
"RPA1_CCDS11014.1_ex3_17:1747887-1747910:+_5-2","RPA1",-3.79037164559787,1.07610768796002,30.6416658606753,3.10356832104557e-08,2.25405552995544e-05
"EFTUD2_CCDS11489.1_ex15_17:42945173-42945196:-_5-4","EFTUD2",-4.29137603220776,0.343525516341699,30.5371729285374,3.27530225679587e-08,2.35944253468012e-05
"CDC23_CCDS4200.2_ex14_5:137548733-137548756:+_5-4","CDC23",-3.78721424047283,1.28756043599701,30.4839555823543,3.36639148133125e-08,2.40550389995836e-05
"SNRPA1_CCDS10391.1_ex4_15:101827198-101827221:-_5-1","SNRPA1",-6.09077067692888,-4.3116340927189,30.3541159184389,3.59942401937423e-08,2.55144451728538e-05
"RPS9_CCDS12884.1_ex2_19:54710315-54710338:-_5-5","RPS9",-2.78277343624361,1.98645570990757,30.3356309268576,3.6338893754527e-08,2.55543176191557e-05
