"sgRNA","gene","plasmid","HT29_c905","HT29_c906","HT29_c907","HT29_c908","SW626_c905"
"ABCA13_CCDS47584.1_ex16_7:48314257-48314280:+_5-3","ABCA13",211,199.555555555556,232.833333333333,232.333333333333,209.666666666667,136.333333333333
"ABCA13_CCDS47584.1_ex16_7:48314774-48314797:+_5-4","ABCA13",337,391.444444444444,454.666666666667,298,353,260.333333333333
"ABCA13_CCDS47584.1_ex16_7:48315583-48315606:-_5-5","ABCA13",340,346,387.666666666667,305.333333333333,394,282
"ABCA13_CCDS47584.1_ex5_7:48266860-48266883:+_5-1","ABCA13",325,349.333333333333,394.166666666667,309.333333333333,231.5,296.333333333333
"ABCA13_CCDS47584.1_ex8_7:48278980-48279003:+_5-2","ABCA13",358,388.555555555556,416,333,403.5,303.333333333333
"ABCA2_CCDS43909.1_ex27_9:139910559-139910582:+_5-1","ABCA2",520,584.222222222222,583,519,690.666666666667,443.666666666667
"ABCA2_CCDS43909.1_ex31_9:139911691-139911714:-_5-2","ABCA2",408,354.666666666667,423.5,381,438.833333333333,226.666666666667
"ABCA2_CCDS43909.1_ex35_9:139912632-139912655:+_5-3","ABCA2",315,411.555555555556,462.666666666667,275.666666666667,312.333333333333,310.666666666667
"ABCA2_CCDS43909.1_ex35_9:139912690-139912713:-_5-4","ABCA2",402,414.777777777778,392.666666666667,271,463.5,293
"ABCA2_CCDS43909.1_ex37_9:139913372-139913395:-_5-5","ABCA2",306,361.222222222222,363.166666666667,247,404.333333333333,272.666666666667
"ABCA3_CCDS10466.1_ex18_16:2348501-2348524:-_5-1","ABCA3",301,307.333333333333,410.166666666667,264,248,359
"ABCA3_CCDS10466.1_ex21_16:2354103-2354126:+_5-2","ABCA3",426,531.777777777778,503.5,424.666666666667,712.666666666667,372
"ABCA3_CCDS10466.1_ex22_16:2358534-2358557:+_5-3","ABCA3",409,465.888888888889,584.5,379,475.166666666667,204.333333333333
"ABCA3_CCDS10466.1_ex25_16:2369697-2369720:+_5-4","ABCA3",502,435.333333333333,582.666666666667,414.333333333333,722.666666666667,384
"ABCA3_CCDS10466.1_ex25_16:2369770-2369793:+_5-5","ABCA3",400,400.888888888889,448.333333333333,347.333333333333,491.166666666667,235.666666666667
"ABCA4_CCDS747.1_ex28_1:94508342-94508365:+_5-1","ABCA4",376,309.777777777778,393.166666666667,263,302,284.333333333333
"ABCA4_CCDS747.1_ex37_1:94528128-94528151:+_5-2","ABCA4",405,353.777777777778,435,266.666666666667,358,292
"ABCA4_CCDS747.1_ex38_1:94528692-94528715:-_5-3","ABCA4",475,418.333333333333,528.166666666667,450.666666666667,448.666666666667,359
"ABCA4_CCDS747.1_ex38_1:94528711-94528734:+_5-4","ABCA4",295,153.222222222222,228.333333333333,118.333333333333,133.333333333333,127.333333333333
"ABCA4_CCDS747.1_ex42_1:94546256-94546279:+_5-5","ABCA4",329,407.222222222222,450.333333333333,349.666666666667,306,261.333333333333
"ABCA5_CCDS11685.1_ex22_17:67282094-67282117:+_5-1","ABCA5",121,93.1111111111111,134.666666666667,96,66.3333333333333,74.6666666666667
