"sgRNA","gene","logFC","logCPM","LR","PValue","FDR"
"sgHNRNPA3_3","HNRNPA3_LS",-0.906282503288971,2.74671689250099,13.030101185263,0.000306523987670767,0.00462425812997869
"HIST1H4B_CCDS4572.1_ex0_6:26027357-26027380:+_5-4","HIST1H4B",-0.939163613849364,2.43433640745084,13.0265132475205,0.000307111815402588,0.00463243113215044
"ALDOA_CCDS10668.1_ex1_16:30078966-30078989:+_5-3","ALDOA",-1.36868641942226,1.6008557282478,13.0236494825174,0.000307581814238926,0.00463882463475473
"MAD2L1BP_CCDS47431.1_ex2_6:43604169-43604192:+_5-1","MAD2L1BP",-1.08555074337923,2.22458530579472,13.0225118195873,0.000307768727787509,0.00464094748204953
"sgKANSL2_4","KANSL2_LS",-1.57599820916419,1.82828528119254,13.0220170605803,0.000307850050475863,0.00464147769160257
"HGS_CCDS11784.1_ex7_17:79658484-79658507:-_5-2","HGS",-1.44049586180015,2.21635409347125,13.0193569020054,0.00030828766772007,0.00464737881582989
"TAF1C_CCDS32496.1_ex3_16:84214763-84214786:+_5-1","TAF1C",-0.906934205679327,2.91582392166438,13.0168561009324,0.000308699641358111,0.00465289165626093
"POLR2F_CCDS13963.1_ex2_22:38355364-38355387:+_5-1","POLR2F",-1.38891469425035,1.90071328197714,13.015298103258,0.000308956581285329,0.00465536915580297
"sgCDK9_1","CDK9_LS",-1.95507711452646,1.14695530005751,13.0150763761641,0.000308993165321787,0.00465536915580297
"PICK1_CCDS13965.1_ex6_22:38467735-38467758:+_5-5","PICK1",0.73790218537122,4.44389028793225,13.01501731153,0.000309002911474296,0.00465536915580297
"PNPLA7_CCDS48070.1_ex24_9:140414390-140414413:-_5-4","PNPLA7",-2.34518457280829,-0.0775929873283444,13.0095789403962,0.000309901617028384,0.00466820939184823
"CISD3_CCDS45662.1_ex2_17:36887642-36887665:+_5-4","CISD3",-1.33155186017845,1.64602471255474,13.0080890654647,0.000310148282461232,0.00467122523265344
"sgPKN3_8","PKN3_LS",-0.966110285876737,2.9636147965208,13.0055973914937,0.000310561249358492,0.00467674450527886
"sgPRMT6_1","PRMT6_LS",-1.93226530186631,0.345515834948216,13.0050305962768,0.000310655266657777,0.00467745977945085
"SFT2D3_CCDS2149.1_ex0_2:128459213-128459236:+_5-1","SFT2D3",-0.807008734824546,3.48077779654123,13.0032393261201,0.000310952582746867,0.00468123540090055
"PRPF4B_CCDS4488.1_ex1_6:4032474-4032497:-_5-1","PRPF4B",-1.26598504486733,2.46417607934328,13.0007682291785,0.000311363207844598,0.00468671544694109
"sgACACA_3","ACACA_LS",-1.06176620226138,2.67916119189118,12.9986958787658,0.00031170799424823,0.00469120298064141
"sgRPL32_1","RPL32_LS",-2.72933333336433,0.36028256851361,12.9960235063389,0.000312153177400129,0.00469719991535552
"FTSJ3_CCDS11644.1_ex8_17:61901218-61901241:-_5-1","FTSJ3",-0.806412755960395,2.89286753474822,12.994415592217,0.000312421344223676,0.00470053175824427
"sgWDR82_2","WDR82_LS",-1.99932450654976,0.474497986598271,12.9929205766352,0.000312670890295582,0.00470358248778135
"GLTP_CCDS9136.1_ex4_12:110318074-110318097:+_5-5","GLTP",-0.868278115404043,3.04620576137987,12.9908743027358,0.000313012777523786,0.00470802120676727
"ARMC7_CCDS11714.1_ex1_17:73106648-73106671:+_5-2","ARMC7",-0.878418230557911,2.65194033282043,12.9894256364919,0.000313255045554729,0.00471096045101442
"sgDSN1_9","DSN1_LS",-1.62532967996475,1.56208129181491,12.9890139662563,0.000313323925811863,0.00471129167286631
"MRPL11_CCDS44655.1_ex3_11:66205678-66205701:-_5-5","MRPL11",-1.3296308234457,1.61712052748151,12.9879430767565,0.000313503177525753,0.00471328214668615
"IFITM3_CCDS41585.1_ex1_11:320575-320598:+_5-1","IFITM3",-1.26468738490073,1.94986560444482,12.9838916822746,0.000314182259554096,0.00472278547105767
"VPS13D_CCDS30588.1_ex17_1:12337553-12337576:+_5-4","VPS13D",-1.13776285570127,2.14190452640439,12.9829152536106,0.000314346147145677,0.00472454271290742
"POLD3_CCDS8233.1_ex4_11:74323976-74323999:+_5-3","POLD3",-1.5991281217406,1.83345912426516,12.9755852499022,0.00031557919905548,0.0047423662958944
"NFE2L3_CCDS5396.1_ex0_7:26192607-26192630:-_5-2","NFE2L3",-0.726392854357128,3.34673349685393,12.9742709031919,0.000315800813316719,0.00474477552948687
